Bug_id,Timestamp,Assignee,Status,Components,os,Product,Resolution,Severity,Summary
322055,2006-01-01 04:28:56,Unassigned,RESOLVED,General,Windows XP,Thunderbird,INVALID,0,received mail displays time date
322102,2006-01-01 23:26:46,Unassigned,VERIFIED,Message Compose Window,Windows XP,Thunderbird,DUPLICATE,0,new compose window initial insertion point body jumps address
322111,2006-01-02 02:05:24,Unassigned,VERIFIED,Mail Window Front End,Windows XP,Thunderbird,DUPLICATE,0,regression attachment pane standalone message window big
322113,2006-01-03 09:12:03,kengert@redhat.com,RESOLVED,Security,Linux,Thunderbird,DUPLICATE,0,certdb file overwritten content new mail sound file
322121,2006-01-02 07:10:13,Unassigned,RESOLVED,Message Compose Window,Windows XP,Thunderbird,WORKSFORME,0,sending mail mailing list fails smtp server refuses bad address syntax
322126,2006-01-02 08:53:41,Unassigned,RESOLVED,Message Compose Window,Linux,Thunderbird,WORKSFORME,1,compose email reply
322140,2008-01-23 09:28:45,nobody@mozilla.org,RESOLVED,General,Mac OS X,Thunderbird,WORKSFORME,1,crash new mail notification background speechsynthesis mac
322153,2006-01-02 14:42:42,Unassigned,RESOLVED,Account Manager,Windows XP,Thunderbird,WORKSFORME,0,password does work
322163,2006-01-02 16:15:22,Unassigned,RESOLVED,General,Windows XP,Thunderbird,INVALID,0,scam detection disabled
322173,2006-01-02 19:32:44,Unassigned,RESOLVED,Mail Window Front End,Windows XP,Thunderbird,WORKSFORME,1,mail header list
322221,2006-01-03 08:21:03,Unassigned,RESOLVED,General,Windows XP,Thunderbird,WORKSFORME,1,updated trunk build crashed tried start thunderbird
322229,2006-01-03 09:22:42,Unassigned,RESOLVED,General,Windows XP,Thunderbird,DUPLICATE,0,creating email thunderbird main app window open thunderbird started
322271,2006-01-03 14:43:00,Unassigned,VERIFIED,Address Book,Windows XP,Thunderbird,DUPLICATE,0,address book autoaddition outgoing email addresses case sensitive
322273,2006-01-03 15:22:12,Unassigned,RESOLVED,General,Windows XP,Thunderbird,FIXED,0,crash nsmsgquicksearchdbviewlistidsinthread
322283,2006-01-04 11:40:23,bienvenu@nventure.com,VERIFIED,General,Windows XP,Thunderbird,FIXED,1,crash filter operation missing destination folder nsmsgfilterservicesavefilterlist
